old_CID,STITCH_CID,CID,pub_chem_CID
CID100004053,CID000460612,460612,100004053
CID100004054,CID000004054,4054,100004054
CID100004057,CID000004057,4057,100004057
CID100004058,CID000004058,4058,100004058
CID100004060,CID000004060,4060,100004060
CID100004062,CID000004062,4062,100004062
CID100004064,CID000004064,4064,100004064
CID100004075,CID000004075,4075,100004075
CID100004086,CID000004086,4086,100004086
CID100004091,CID000004091,4091,100004091
CID100004095,CID000004095,4095,100004095
CID100004101,CID000004101,4101,100004101
CID100004107,CID000004107,4107,100004107
CID100004112,CID000126941,126941,100004112
CID100004114,CID000004114,4114,100004114
CID100004120,CID000004120,4120,100004120
CID100004120,CID049800046,49800046,100004120
CID100004121,CID000004121,4121,100004121
CID100004138,CID000038852,38852,100004138
CID100004139,CID000004139,4139,100004139
CID100004140,CID000008226,8226,100004140
CID100004158,CID000004158,4158,100004158
CID100004158,CID000154100,154100,100004158
CID100004159,CID000006741,6741,100004159
CID100004160,CID000006010,6010,100004160
CID100004163,CID000009681,9681,100004163
CID100004168,CID000004168,4168,100004168
CID100004170,CID000004170,4170,100004170
CID100004171,CID000004171,4171,100004171
CID100004173,CID000004173,4173,100004173
CID100004174,CID000004174,4174,100004174
CID100004178,CID000004178,4178,100004178
CID100004184,CID000004184,4184,100004184
CID100004189,CID000004189,4189,100004189
CID100004192,CID000004192,4192,100004192
CID100004195,CID000004195,4195,100004195
CID100004196,CID000055245,55245,100004196
CID100004197,CID000004197,4197,100004197
CID100004201,CID000004201,4201,100004201
CID100004205,CID000004205,4205,100004205
CID100004211,CID000004211,4211,100004211
CID100004212,CID000004212,4212,100004212
CID100004235,CID000004235,4235,100004235
CID100004236,CID000004236,4236,100004236
CID100004236,CID009690109,9690109,100004236
CID100004240,CID000055188,55188,100004240
CID100004240,CID000441336,441336,100004240
CID100004248,CID005281040,5281040,100004248
CID100004253,CID000004253,4253,100004253
CID100004253,CID005288826,5288826,100004253
CID100004259,CID000101526,101526,100004259
CID100004264,CID000446596,446596,100004264
CID100004271,CID005281078,5281078,100004271
CID100004272,CID000446541,446541,100004272
CID100004274,CID000004274,4274,100004274
CID100004409,CID000004409,4409,100004409
CID100004411,CID000039147,39147,100004411
CID100004419,CID005311304,5311304,100004419
CID100004421,CID000004421,4421,100004421
CID100004422,CID005284594,5284594,100004422
CID100004425,CID005284596,5284596,100004425
CID100004428,CID005360515,5360515,100004428
CID100004432,CID000009677,9677,100004432
CID100004436,CID000004436,4436,100004436
CID100004440,CID000004440,4440,100004440
CID100004443,CID000060026,60026,100004443
CID100004443,CID005311309,5311309,100004443
CID100004449,CID000004449,4449,100004449
CID100004450,CID000004450,4450,100004450
CID100004451,CID000064142,64142,100004451
CID100004454,CID000004454,4454,100004454
CID100004454,CID000008378,8378,100004454
CID100004456,CID000004456,4456,100004456
CID100004463,CID000004463,4463,100004463
CID100004473,CID000004473,4473,100004473
CID100004485,CID000004485,4485,100004485
CID100004493,CID000004493,4493,100004493
CID100004497,CID000004497,4497,100004497
CID100004499,CID000004499,4499,100004499
CID100004506,CID000004506,4506,100004506
CID100004509,CID006604200,6604200,100004509
CID100004510,CID000004510,4510,100004510
CID100004513,CID003033637,3033637,100004513
